Date,Price,Open,High,Low,Vol.,Change %
8/21/2020,25221.87,25203.36,25273.33,25203.36,158.60M,0.00
8/20/2020,25204.58,25174.60,25204.58,25172.10,179.55M,0.00
8/19/2020,25171.32,25136.49,25180.40,25131.56,180.01M,0.00
8/18/2020,25136.49,25139.57,25151.36,25123.28,271.00M,0.00
8/17/2020,25143.68,25199.84,25234.49,25143.68,161.23M,0.00
8/14/2020,25199.84,25236.97,25236.97,25168.43,482.42M,0.00
8/13/2020,25236.97,25141.48,25239.91,25067.72,258.05M,0.00
8/12/2020,25141.48,24883.70,25147.52,24852.43,204.42M,0.01
8/11/2020,24883.70,25027.61,25067.18,24825.09,205.97M,-0.01
8/10/2020,25027.61,25041.89,25046.29,24952.17,175.23M,0.00
8/7/2020,25041.89,24944.45,25047.70,24944.45,166.94M,0.00
8/6/2020,24930.34,24882.04,24931.91,24820.50,173.72M,0.00
8/5/2020,24882.04,24841.94,24910.02,24841.94,303.28M,0.00
8/4/2020,24841.94,24766.12,24868.82,24764.26,154.47M,0.00
8/3/2020,24766.12,24710.93,24776.08,24690.75,186.47M,0.00
7/29/2020,24693.73,24650.16,24713.57,24646.84,101.53M,0.00
7/28/2020,24650.16,24799.05,24800.81,24646.53,150.37M,-0.01
7/27/2020,24783.61,24427.73,24788.17,24427.73,170.00M,0.01
7/24/2020,24427.73,24512.27,24536.82,24409.99,174.19M,0.00
7/23/2020,24512.27,24173.53,24615.65,24170.97,164.07M,0.01
7/22/2020,24173.53,24174.45,24192.52,24166.96,266.06M,0.00
7/21/2020,24174.45,24269.58,24303.76,24130.23,304.19M,0.00
7/20/2020,24273.42,24287.66,24301.11,24273.42,305.10M,0.00
7/17/2020,24287.66,24323.50,24336.59,24256.64,160.47M,0.00
7/16/2020,24330.06,24129.84,24330.51,24112.40,207.40M,0.01
7/15/2020,24132.30,24114.59,24210.22,24071.13,208.21M,0.00
7/14/2020,24117.40,24200.60,24207.00,24095.41,208.20M,0.00
7/13/2020,24200.60,24306.36,24306.36,24162.70,231.23M,0.00
7/10/2020,24306.36,24276.56,24315.39,24251.26,131.63M,0.00
7/9/2020,24276.56,24278.07,24336.45,24276.56,192.03M,0.00
7/8/2020,24278.07,24097.48,24278.07,24097.48,232.61M,0.01
7/7/2020,24098.08,24026.05,24152.67,24026.05,155.53M,0.00
7/6/2020,24109.65,24336.12,24352.20,23961.14,189.67M,-0.01
7/3/2020,24336.12,24374.38,24416.05,24332.36,144.30M,0.00
7/2/2020,24374.40,24594.99,24612.25,24357.75,180.10M,-0.01
7/1/2020,24594.99,24479.16,24723.26,24479.16,198.01M,0.00
6/30/2020,24479.16,24858.82,24859.88,24448.23,280.67M,-0.02
6/29/2020,24858.82,24828.96,24858.82,24740.06,158.45M,0.00
6/26/2020,24828.96,24625.17,24829.17,24551.35,127.19M,0.01
6/25/2020,24625.17,24654.99,24662.27,24619.84,130.28M,0.00
6/24/2020,24654.99,24750.06,24771.97,24636.63,189.23M,0.00
6/23/2020,24751.32,24753.92,24756.88,24649.39,167.90M,0.00
6/22/2020,24779.26,24826.75,24877.30,24651.30,124.66M,0.00
6/19/2020,24826.75,24933.41,25123.72,24819.12,174.67M,0.00
6/18/2020,24933.41,24972.89,25054.28,24913.26,171.16M,0.00
6/17/2020,24972.94,24930.88,24973.59,24816.45,265.95M,0.00
6/16/2020,24930.88,24954.89,25046.42,24930.65,200.37M,0.00
6/15/2020,24956.04,25182.67,25196.62,24757.68,237.63M,-0.01
6/11/2020,25182.67,25215.04,25302.85,25182.67,337.13M,0.00
6/10/2020,25215.04,25335.15,25351.29,25130.61,266.65M,0.00
6/9/2020,25335.15,25249.96,25368.78,25249.96,268.74M,0.00
6/8/2020,25250.20,25016.30,25412.54,25016.30,230.49M,0.01
6/5/2020,25016.30,25312.05,25325.87,24875.56,214.50M,-0.01
6/4/2020,25312.05,25407.96,25434.62,25312.05,270.18M,0.00
6/3/2020,25407.96,25383.43,25445.47,25308.50,353.26M,0.00
6/2/2020,25383.43,25316.24,25458.53,25316.24,377.86M,0.00
6/1/2020,25321.29,25267.82,25396.10,25180.37,253.13M,0.00
5/29/2020,25267.82,25166.01,25393.03,25164.06,325.59M,0.00
5/28/2020,25166.01,25229.02,25463.11,25131.33,348.21M,0.00
5/27/2020,25221.29,25204.75,25469.93,25054.11,581.59M,0.00
5/22/2020,25204.75,24758.39,25205.18,24742.12,259.57M,0.02
5/21/2020,24758.39,24452.23,24769.40,24426.56,350.66M,0.01
5/20/2020,24452.23,24202.87,24467.28,24185.62,436.77M,0.01
5/19/2020,24202.87,23943.29,24205.89,23943.29,339.75M,0.01
5/18/2020,24010.19,23874.77,24010.19,23871.33,330.98M,0.01
5/15/2020,23871.33,23872.44,23931.49,23840.80,221.44M,0.00
5/14/2020,23892.92,23709.44,23892.92,23709.20,182.74M,0.01
5/13/2020,23709.44,23695.90,23759.84,23695.90,159.19M,0.00
5/12/2020,23695.90,23950.83,23982.29,23542.33,155.65M,-0.01
5/11/2020,23950.83,24045.40,24058.15,23949.18,204.72M,0.00
5/8/2020,24045.40,24361.14,24403.77,24030.65,208.56M,-0.01
5/7/2020,24354.25,24143.37,24369.45,24039.70,431.57M,0.01
5/6/2020,24143.37,23815.34,24154.65,23807.14,426.63M,0.01
5/5/2020,23809.31,23089.86,23809.39,23075.49,343.95M,0.03
5/4/2020,23089.86,23021.01,23121.74,22940.24,249.83M,0.00
4/30/2020,23021.01,22868.40,23045.44,22636.59,359.46M,0.01
4/29/2020,22868.40,22727.87,22884.49,22727.87,277.29M,0.01
